Sr. No.,Channel Name,HD/SD,Genre,EPG No. ,FTA/Pay ,MRP,MRP + Tax
448,News J,SD,Tamil Regional,1568,FTA,FTA,FTA
449,DD Podhigai,SD,Tamil Regional,1578,FTA,FTA,FTA
450,Sun Music HD,HD,Tamil Regional,1579,Pay,? 19.00,? 22.42
451,Sun Music,SD,Tamil Regional,1580,Pay,? 6.00,? 7.08
452,Jaya Max,SD,Tamil Regional,1581,Pay,? 2.25,? 2.66
453,Raj Musix,SD,Tamil Regional,1582,Pay,? 1.00,? 1.18
454,Vijay Music,SD,Tamil Regional,1583,Pay,? 1.00,? 1.18
455,Isaiaruvi,SD,Tamil Regional,1584,FTA,FTA,FTA
456,Murasu TV,SD,Tamil Regional,1585,FTA,FTA,FTA
457,Mega Musiq,SD,Tamil Regional,1586,Pay,? 2.00,? 2.36
458,Jothi TV,SD,Tamil Regional,1587,FTA,FTA,FTA
459,Madha TV,SD,Tamil Regional,1590,FTA,FTA,FTA
460,Angel TV,SD,Tamil Regional,1591,FTA,FTA,FTA
461,Nambikkai TV,SD,Tamil Regional,1592,FTA,FTA,FTA
462,SVBC 2,SD,Tamil Regional,1599,FTA,FTA,FTA
463,Udaya TV HD,HD,Kannada Regional,1603,Pay,? 19.00,? 22.42
464,Udaya TV,SD,Kannada Regional,1604,Pay,? 17.00,? 20.06
465,Colors Kannada HD,HD,Kannada Regional,1605,Pay,? 19.00,? 22.42
466,Colors Kannada,SD,Kannada Regional,1606,Pay,? 19.00,? 22.42
467,Star Suvarna HD,HD,Kannada Regional,1609,Pay,? 19.00,? 22.42
468,Star Suvarna,SD,Kannada Regional,1610,Pay,? 19.00,? 22.42
469,Zee Kannada HD,HD,Kannada Regional,1611,Pay,? 19.00,? 22.42
470,Zee Kannada,SD,Kannada Regional,1612,Pay,? 19.00,? 22.42
471,Colors Super,SD,Kannada Regional,1615,Pay,? 3.00,? 3.54
472,Kannada Naaptol,SD,Kannada Regional,1617,FTA,FTA,FTA
473,Udaya Movies,SD,Kannada Regional,1626,Pay,? 16.00,? 18.88
474,Udaya Comedy,SD,Kannada Regional,1628,Pay,? 6.00,? 7.08
475,Star Suvarna Plus,SD,Kannada Regional,1630,Pay,? 5.00,? 5.90
476,Colors Kannada Cinema,SD,Kannada Regional,1632,Pay,? 2.00,? 2.36
477,Zee Picchar,SD,Kannada Regional,1634,Pay,? 3.00,? 3.54
478,Public Movies,SD,Kannada Regional,1639,FTA,FTA,FTA
479,Star Sports 1 Kannada,SD,Kannada Regional,1645,Pay,? 19.00,? 22.42
480,Kasthuri,SD,Kannada Regional,1650,FTA,FTA,FTA
481,TV9 Kannada,SD,Kannada Regional,1653,FTA,FTA,FTA
482,Suvarna News 24x7,SD,Kannada Regional,1654,FTA,FTA,FTA
483,Public TV,SD,Kannada Regional,1655,FTA,FTA,FTA
484,News18 Kannada,SD,Kannada Regional,1656,Pay,? 0.10,? 0.12
485,TV5 Kannada,SD,Kannada Regional,1657,FTA,FTA,FTA
486,Raj News Kannada,SD,Kannada Regional,1658,FTA,FTA,FTA
487,Dighvijay 24x7 News,SD,Kannada Regional,1659,FTA,FTA,FTA
488,Power TV,SD,Kannada Regional,1660,FTA,FTA,FTA
489,News 1st,SD,Kannada Regional,1661,FTA,FTA,FTA
490,DD Chandana,SD,Kannada Regional,1672,FTA,FTA,FTA
491,Udaya Music,SD,Kannada Regional,1673,Pay,? 6.00,? 7.08
492,Raj Musix Kannada,SD,Kannada Regional,1674,FTA,FTA,FTA
493,Public Music,SD,Kannada Regional,1677,FTA,FTA,FTA
494,Sri Sankara TV,SD,Kannada Regional,1685,FTA,FTA,FTA
495,Ayush TV,SD,Kannada Regional,1686,FTA,FTA,FTA
496,Colors Gujarati,SD,Gujarati Regional,1702,Pay,? 5.00,? 5.90
497,Colors Gujarati Cinema,SD,Gujarati Regional,1711,Pay,? 1.00,? 1.18
498,TV9 Gujarati,SD,Gujarati Regional,1720,FTA,FTA,FTA
499,Gujarat Samachar TV,SD,Gujarati Regional,1721,FTA,FTA,FTA
500,Sandesh News,SD,Gujarati Regional,1722,FTA,FTA,FTA
501,CNBC Bajaar,SD,Gujarati Regional,1724,Pay,? 1.00,? 1.18
502,News18 Gujarati,SD,Gujarati Regional,1726,Pay,? 0.10,? 0.12
503,ABP Asmita,SD,Gujarati Regional,1728,FTA,FTA,FTA
504,VTV Gujarati,SD,Gujarati Regional,1729,FTA,FTA,FTA
505,Zee 24 Kalak,SD,Gujarati Regional,1731,Pay,? 0.10,? 0.12
506,India News Gujarat,SD,Gujarati Regional,1732,FTA,FTA,FTA
507,Mantavya News,SD,Gujarati Regional,1734,FTA,FTA,FTA
508,DD Girnar,SD,Gujarati Regional,1739,FTA,FTA,FTA
509,Colors Oriya,SD,Odia Regional,1752,Pay,? 6.00,? 7.08
510,Tarang TV,SD,Odia Regional,1754,Pay,? 10.00,? 11.80
511,Zee Sarthak,SD,Odia Regional,1756,Pay,? 19.00,? 22.42
512,Manjari,SD,Odia Regional,1760,FTA,FTA,FTA
513,Alankar,SD,Odia Regional,1763,Pay,? 4.00,? 4.72
514,OTV,SD,Odia Regional,1771,FTA,FTA,FTA
515,Zee Odisha,SD,Odia Regional,1773,Pay,? 0.10,? 0.12
516,Kanak News,SD,Odia Regional,1774,FTA,FTA,FTA
517,News18 Odia,SD,Odia Regional,1776,Pay,? 0.10,? 0.12
518,Kalinga TV,SD,Odia Regional,1777,FTA,FTA,FTA
519,Prameya News 7,SD,Odia Regional,1778,FTA,FTA,FTA
520,Nandighosha TV,SD,Odia Regional,1779,FTA,FTA,FTA
521,Argus News,SD,Odia Regional,1780,FTA,FTA,FTA
522,DD Odia,SD,Odia Regional,1785,FTA,FTA,FTA
523,Tarang Music,SD,Odia Regional,1786,Pay,? 2.00,? 2.36
524,Prarthana TV,SD,Odia Regional,1795,Pay,? 2.00,? 2.36
525,Surya TV HD,HD,Malayalam Regional,1802,Pay,? 19.00,? 22.42
526,Surya TV,SD,Malayalam Regional,1803,Pay,? 12.00,? 14.16
527,Asianet HD,HD,Malayalam Regional,1806,Pay,? 19.00,? 22.42
528,Asianet,SD,Malayalam Regional,1807,Pay,? 19.00,? 22.42
529,Asianet Plus,SD,Malayalam Regional,1809,Pay,? 5.00,? 5.90
530,Zee Keralam HD,HD,Malayalam Regional,1811,Pay,? 8.00,? 9.44
531,Zee Keralam,SD,Malayalam Regional,1812,Pay,? 0.10,? 0.12
532,Flowers,SD,Malayalam Regional,1814,Pay,? 10.00,? 11.80
533,Amrita TV,SD,Malayalam Regional,1817,FTA,FTA,FTA
534,Mazhavil Manorama HD,HD,Malayalam Regional,1818,FTA,FTA,FTA
535,Mazhavil Manorama,SD,Malayalam Regional,1819,FTA,FTA,FTA
536,Kairali TV,SD,Malayalam Regional,1820,FTA,FTA,FTA
537,We TV,SD,Malayalam Regional,1822,FTA,FTA,FTA
538,Naaptol Malayalam,SD,Malayalam Regional,1823,FTA,FTA,FTA
539,Surya Movies,SD,Malayalam Regional,1826,Pay,? 11.00,? 12.98
540,Asianet Movies,SD,Malayalam Regional,1828,Pay,? 15.00,? 17.70
541,Surya Comedy,SD,Malayalam Regional,1830,Pay,? 4.00,? 4.72
542,Safari TV,SD,Malayalam Regional,1838,FTA,FTA,FTA
543,Asianet News,SD,Malayalam Regional,1841,FTA,FTA,FTA
544,Kairali News,SD,Malayalam Regional,1842,FTA,FTA,FTA
545,Manorama News,SD,Malayalam Regional,1843,FTA,FTA,FTA
546,Mathrubhumi News,SD,Malayalam Regional,1844,FTA,FTA,FTA
547,News18 Kerala,SD,Malayalam Regional,1846,Pay,? 0.10,? 0.12
548,Jai Hind TV,SD,Malayalam Regional,1847,FTA,FTA,FTA
549,Jeevan TV,SD,Malayalam Regional,1848,FTA,FTA,FTA
550,Media One TV,SD,Malayalam Regional,1849,FTA,FTA,FTA
551,Janam TV,SD,Malayalam Regional,1850,FTA,FTA,FTA
552,Kaumudy,SD,Malayalam Regional,1851,FTA,FTA,FTA
553,Raj News Malayalam,SD,Malayalam Regional,1853,FTA,FTA,FTA
554,Twenty four,SD,Malayalam Regional,1854,FTA,FTA,FTA
555,KITE Victers,SD,Malayalam Regional,1873,FTA,FTA,FTA
556,DD Malayalam,SD,Malayalam Regional,1874,FTA,FTA,FTA
557,Surya Music,SD,Malayalam Regional,1875,Pay,? 4.00,? 4.72
558,Raj Musix Malayalam,SD,Malayalam Regional,1877,FTA,FTA,FTA
559,Kappa TV,SD,Malayalam Regional,1878,FTA,FTA,FTA
560,Goodness,SD,Malayalam Regional,1885,FTA,FTA,FTA
561,God TV,SD,Malayalam Regional,1886,FTA,FTA,FTA
562,SHALOM TV,SD,Malayalam Regional,1887,FTA,FTA,FTA
563,ATE TV,SD,Malayalam Regional,1888,FTA,FTA,FTA
564,Zee Punjabi,SD,Punjabi Regional,1903,Pay,? 3.00,? 3.54
565,PTC Punjabi,SD,Punjabi Regional,1906,FTA,FTA,FTA
566,MH One,SD,Punjabi Regional,1907,FTA,FTA,FTA
567,Pitaara TV,SD,Punjabi Regional,1911,FTA,FTA,FTA
568,PTC Punjabi Gold,SD,Punjabi Regional,1912,FTA,FTA,FTA
569,Zee Punjab Haryana Himachal Pradesh,SD,Punjabi Regional,1920,Pay,? 0.10,? 0.12
570,PTC News,SD,Punjabi Regional,1921,FTA,FTA,FTA
571,News18 Punjab Haryana Himachal,SD,Punjabi Regional,1922,Pay,? 0.10,? 0.12
572,India News Punjab,SD,Punjabi Regional,1923,FTA,FTA,FTA
573,India News Haryana,SD,Punjabi Regional,1924,FTA,FTA,FTA
574,Janta TV,SD,Punjabi Regional,1925,FTA,FTA,FTA
575,MH One News,SD,Punjabi Regional,1926,FTA,FTA,FTA
576,ANB News,SD,Punjabi Regional,1927,FTA,FTA,FTA
577,Living India News,SD,Punjabi Regional,1928,FTA,FTA,FTA
578,DD Punjabi,SD,Punjabi Regional,1935,FTA,FTA,FTA
579,PTC Chak De,SD,Punjabi Regional,1938,FTA,FTA,FTA
580,9X Tashan,SD,Punjabi Regional,1939,FTA,FTA,FTA
581,Balle Balle,SD,Punjabi Regional,1940,FTA,FTA,FTA
582,Chardikla Time TV,SD,Punjabi Regional,1945,FTA,FTA,FTA
583,PTC Simran,SD,Punjabi Regional,1946,FTA,FTA,FTA
584,Nepal 1,SD,Others,1951,FTA,FTA,FTA
585,Rang,SD,Others,1952,FTA,FTA,FTA
586,Rengoni TV,SD,Others,1953,FTA,FTA,FTA
587,Indradhanu,SD,Others,1961,FTA,FTA,FTA
588,DY 365,SD,Others,1970,FTA,FTA,FTA
589,News18 Assam North East,SD,Others,1971,Pay,? 0.10,? 0.12
590,News Live,SD,Others,1973,FTA,FTA,FTA
591,Protidin Time,SD,Others,1974,FTA,FTA,FTA
592,Prag News,SD,Others,1975,FTA,FTA,FTA
593,North East Live,SD,Others,1976,FTA,FTA,FTA
594,NKTV 24x7,SD,Others,1977,FTA,FTA,FTA
595,Hornbill TV,SD,Others,1978,FTA,FTA,FTA
596,DD Port Blair,SD,Others,1985,FTA,FTA,FTA
597,DD Arunprabha,SD,Others,1986,FTA,FTA,FTA
598,DD Manipur,SD,Others,1987,FTA,FTA,FTA
599,DD North East,SD,Others,1988,FTA,FTA,FTA
600,DD Kashir,SD,Others,1989,FTA,FTA,FTA
601,Ramdhenu,SD,Others,1990,FTA,FTA,FTA
